ID,Штрихкод,Бренд,Название,Категория,Размер,Цвет,L1,💰 Стоимость,🔵 Артикул Ozon,🟣 Артикул WB,🟣 nm_id,🟡 Остаток сайт (101 / 240),🟣 Остаток WB (132 / 161 / 240),🔵 Остаток Ozon (94 / 146 / 240),📊 Общий остаток,🟣 Заказы WB 14д,🟣 Заказы WB 28д,🟣 Заказы WB 40д,🔵 Заказы Ozon 14д,🔵 Заказы Ozon 28д,🔵 Заказы Ozon 40д,📊 Всего заказов 14д,📊 Всего заказов 28д,📊 Всего заказов 40д,🟣 Выкупы WB 14д (T-21..-7),🔵 Выкупы Ozon 14д (T-21..-7),📊 % выкупа 14д,🟣 Выручка WB 28д,🔵 Выручка Ozon 28д,📊 Общая выручка 28д,🟣 Ср.выручка WB 28д,🔵 Ср.выручка Ozon 28д,📊 Ср.выручка общая 28д,🟣 Ср.доход WB / шт. 28д,🔵 Ср.доход Ozon / шт. 28д,🟣 Сумм.доход WB 28д,🔵 Сумм.доход Ozon 28д,📋 План закупок (14д на 30д),📋 План закупок (28д на 30д),💰 Стоимость закупки L1 (14д на 30д),💰 Стоимость закупки не L1 (14д на 30д),💰 Стоимость закупки L1 (28д на 30д),💰 Стоимость закупки не L1 (28д на 30д),📦 Приедут L1,📦 Приедут NoL,📊 Расчетный (14д на 30д),📊 Расчетный (28д на 30д),💰 Капитализация склада,💰 Себестоимость склада,📈 Индекс склада (14д),📈 Индекс капитализации,📈 Коэф.доходности,🏷️ Ярлыки,🟣 Динамика WB,🔵 Динамика Ozon,📊 Динамика общая,🟣 Доля WB 28д,🔵 Доля Ozon 28д,🟣 Выкупы WB,🔵 Выкупы Ozon,📊 Выкупы общие,🏢 Центральные склады,🏢 ТОП-3 склады,🟣📦 Остатки Центральный,🟣📦 Остатки Южный + Северо-Кавказский,🟣📦 Остатки Северо-Западный,🟣📦 Остатки Приволжский,🟣📦 Остатки Уральский,🟣📦 Остатки Дальневосточный + Сибирский,"🔵📦 Остатки Москва, МО и Дальние регионы",🔵📦 Остатки Санкт-Петербург и СЗО,🔵📦 Остатки Ростов,🔵📦 Остатки Казань,🔵📦 Остатки Новосибирск,🔵📦 Остатки Краснодар,🔵📦 Остатки Воронеж,🔵📦 Остатки Самара
44,2038819637283,MSH,Колье с двумя кулонами «Римские истории»,Колье,37-42,Зол,Нет,199,MSHK-027,MSHK-027,183318188,0,0,10,10,20,72,73,6,14,14,26,86,87,40,4,169,170 057,33 638,203 695,2 362,2 403,2 369,620,400,44 607,5 604,25,-18,0,0,0,4 776,0,80,0,24,212 979,17 910,0,"1,05","1,33","TSL,LST,⚡️FBO",🔴,⚪,⚪,🟢,🔴,🟡,🔴,🟡,🟡,🟡,0,0,0,0,0,0,1,1,2,0,0,0,0,6
273,4603785765216,DSS,Сережки «Бабочки»,Серьги,—,Зол,Да,800,D139,D115DSR025,21329117,34,37,55,126,15,19,24,18,40,47,33,59,71,9,19,85,94 975,272 255,367 230,4 999,6 806,6 224,1 044,1 213,19 836,48 514,34,34,0,0,0,0,0,0,0,0,729 257,100 800,4,"1,99","1,23","TSL,⚡️FBO",🟢,⚪,🟢,🟡,🟡,🟡,🟢,🟢,🟢,🟢,20,7,8,0,1,0,19,9,3,2,2,5,2,1
48,2038336637179,DSS,Кольцо «Бабочка»,Кольца,16-19,Зол,Да,646,D344,D155DKLC130,172814280,2,10,1,13,7,12,14,1,21,27,8,33,41,7,13,250,49 058,97 020,146 078,4 088,4 620,4 427,844,665,10 127,13 965,-2,-23,1 292,0,14 858,0,5,0,2,23,74 119,11 628,2,"0,51","1,2","TSL,LST,⚡️FBO",🟢,🔴,🔴,🟡,🟡,🟡,🟢,🟢,🔴,🔴,0,8,0,2,0,0,0,0,0,0,1,0,0,0
494,2043834187149,DSS,Сережки «Рыбки-петушки»,Серьги,—,Сер,Нет,100,D517,D517,403160035,25,17,13,55,5,6,8,11,15,25,16,21,33,2,4,38,12 015,42 900,54 915,2 002,2 860,2 615,579,646,3 473,9 691,10,19,0,0,0,0,0,0,0,0,121 285,5 500,3,"2,21","1,32","TSL,⚡️FBO",🟢,🟢,🟢,🔴,🟢,🟢,🟢,🟢,🟢,🟢,8,5,2,0,1,0,6,2,3,0,0,1,0,0
297,2036729640249,DSS,Сережки «Вилланель»,Серьги,—,Сер,Нет,216,D205,D193DSR054,94817240,26,58,57,141,2,4,5,8,21,25,10,25,30,1,11,120,8 470,63 225,71 695,2 118,3 011,2 868,507,578,2 030,12 147,62,62,0,0,0,0,0,36,0,0,425 711,38 232,14,"5,94","1,25","TSL,⚡️FBO",⚪,⚪,⚪,🔴,🟢,🟡,🟢,🟡,🟢,🟢,28,5,10,15,0,0,11,10,5,2,0,7,1,1
398,2038819575844,MSH,Сережки «Ласточки»,Серьги,—,Зол,Нет,355,MSH-017,MSH-017,183317053,0,19,15,34,5,6,7,9,14,21,14,20,28,2,6,57,15 767,38 500,54 267,2 628,2 750,2 713,567,356,3 402,4 980,-8,-2,0,3 550,0,1 420,0,0,10,4,91 180,12 070,2,"1,68","1,18","TSL,⚡️FBO",🟢,🟢,🟢,🔴,🟢,🟢,🟢,🟢,🟢,🟢,6,5,7,1,0,0,6,5,1,0,0,0,0,0
520,2037712948304,DSS,Сережки «Стрекоза»,Серьги,—,Зол,Да,1258,D294,D202DSR114,156555364,0,8,4,12,3,5,7,6,15,20,9,20,27,4,6,111,26 983,83 178,110 161,5 397,5 545,5 508,741,350,3 704,5 250,-11,-15,13 838,0,18 870,0,0,0,11,15,65 354,15 096,1,"0,59","1,09","TSL,LST,⚡️FBO",🟢,⚪,⚪,🔴,🟢,🟡,🟡,🟡,🟡,🟡,2,1,3,2,0,0,0,0,0,0,1,0,1,0
296,2032002327623,DSS,Сережки «Вилланель»,Серьги,—,Зол,Нет,230,D185,DSR042,81314738,4,43,69,116,4,8,10,4,8,15,8,16,25,3,4,88,17 649,23 672,41 321,2 206,2 959,2 583,528,548,4 224,4 383,40,40,0,0,0,0,0,36,0,0,387 279,34 960,14,"9,37","1,26","TSL,⚡️FBO",🟢,🟢,🟢,🟡,🟡,🟡,🟢,🟢,🟢,🟢,23,6,7,7,0,0,14,8,4,3,3,7,3,4
538,2038819575684,MSH,Сережки «Цветочные истории»,Серьги,—,Сер,Нет,412,MSH-001,MSH-001,183317044,0,15,12,27,10,12,15,1,3,8,11,15,23,3,1,36,25 488,8 250,33 738,2 124,2 750,2 249,314,299,3 768,896,0,10,0,0,0,0,0,10,0,0,86 100,15 244,2,"2,55","1,16","TSL,LST,⚡️FBO",🟢,⚪,🟢,🟢,🔴,🟡,🟢,🟡,🟢,🟢,5,4,5,1,0,0,3,4,3,1,0,0,0,0
468,2037549815565,DSS,Сережки «Перламутровое сердце»,Серьги,—,Зол,Нет,350,D238,D275DSR107,149612893,0,0,1,1,4,7,8,2,8,14,6,15,22,2,1,50,11 138,12 594,23 732,1 591,1 574,1 582,169,-17,1 182,-133,19,15,0,0,0,0,0,33,0,0,54 082,11 900,0,"2,28","1,05","TSL,LST,⚡️FBO",🟢,🔴,⚪,🟡,🟡,🟢,🟢,🟢,🔴,🔴,0,0,0,0,0,0,0,0,0,0,0,1,0,0
222,4603785765247,DSS,Моносережка «Бабочка»,Серьги,—,Зол,Да,"463,25",D142,D114DSMR028,21477173,0,19,14,33,5,10,15,1,4,6,6,14,21,5,2,117,34 320,19 160,53 480,3 432,4 790,3 820,771,902,7 715,3 609,8,8,0,0,0,0,8,0,0,0,159 724,18 993,6,"2,99","1,27","TSL,⚡️FBO",🟢,⚪,⚪,🟢,🔴,🟡,🟡,🟡,🟢,🟢,7,4,3,2,2,0,2,2,4,0,0,0,0,0
33,2038819637481,MSH,Колье «Счастливая звезда»,Колье,40-45,Зол,Нет,162,MSHK-033,MSHK-033,183318194,1,14,15,30,8,8,8,5,11,12,13,19,20,1,7,62,10 718,20 051,30 769,1 340,1 823,1 619,259,251,2 072,2 762,5,11,0,0,0,0,0,10,0,0,60 836,6 480,2,"1,98","1,19","TSL,⚡️FBO",🟢,⚪,🟢,🟡,🟡,🟢,🟢,🟢,🟢,🟡,7,2,1,4,0,0,1,5,0,1,2,3,0,0
434,2038819575882,MSH,Сережки «Мишель»,Серьги,—,Зол,Нет,245,MSH-021,MSH-021,183317055,0,13,9,22,3,7,8,7,9,12,10,16,20,4,4,80,10 948,22 644,33 592,1 564,2 516,2 100,263,391,1 843,3 516,12,18,0,0,0,0,0,20,0,0,74 256,10 290,2,"2,21","1,19","TSL,LST,⚡️FBO",⚪,🟢,🟢,🟡,🟡,🟡,🟡,🟡,🟢,🟢,5,3,5,0,0,0,2,1,1,0,0,2,0,0
260,2038819575851,MSH,Сережки «Амели»,Серьги,—,Сер,Нет,213,MSH-018,MSH-018,183317059,0,6,10,16,5,9,11,0,7,8,5,16,19,3,2,100,16 920,12 044,28 964,1 880,1 721,1 810,418,167,3 763,1 171,14,15,0,0,0,0,0,20,0,0,66 086,7 668,3,"2,28","1,21","TSL,LST,⚡️FBO",🟢,🔴,⚪,🟡,🟡,🟡,🟡,🟡,🟡,🟢,0,1,1,4,0,0,3,2,2,1,1,0,0,0
507,2038819575769,MSH,Сережки «Сирень»,Серьги,—,Сер,Нет,178,MSH-009,MSH-009,183317048,0,11,17,28,5,9,10,1,4,8,6,13,18,3,3,100,12 202,7 605,19 807,1 356,1 901,1 524,249,260,2 243,1 041,8,10,0,0,0,0,0,10,0,0,60 793,6 764,5,"3,07","1,2","TSL,LST,⚡️FBO",🟢,⚪,⚪,🟡,🟡,🟡,🟡,🟡,🟢,🟢,3,1,4,2,0,0,7,7,2,0,0,0,1,0
325,2042109048901,MSH,Сережки «Дорота»,Серьги,—,Зол,Нет,315,MSH-066,MSH-066,295472763,0,26,18,44,8,14,14,1,1,2,9,15,16,7,1,89,24 651,1 782,26 433,1 761,1 782,1 762,270,85,3 777,85,0,0,0,0,0,0,0,0,0,0,77 856,13 860,5,"2,95","1,17",⚡️FBO,🟢,⚪,🟢,🟢,🔴,🔴,⚪,🔴,🟢,🟢,16,4,2,3,1,0,8,5,5,0,0,0,0,0
469,2037549699431,DSS,Сережки «Перламутровое сердце»,Серьги,—,Сер,Нет,350,D275,D275DSR100,149612889,0,13,7,20,3,7,9,5,7,7,8,14,16,2,3,62,12 999,12 747,25 746,1 857,1 821,1 839,272,63,1 905,438,-4,0,0,1 750,0,350,0,0,5,1,36 888,7 000,2,"1,43","1,1","LST,⚡️FBO",⚪,🟢,🟢,🟡,🟡,🟢,🟢,🟢,🟢,🟢,4,4,2,3,0,0,1,2,1,1,1,0,0,0
262,2043834018405,DSS,Сережки «Амелия»,Серьги,—,Зол,Нет,210,D511,D511,403160029,0,4,5,9,3,5,7,5,6,8,8,11,15,1,1,25,8 703,11 139,19 842,1 741,1 856,1 804,367,214,1 835,1 284,-1,4,0,420,0,0,0,7,2,0,28 429,3 360,1,"1,43","1,19","LST,⚡️FBO",🟢,🟢,🟢,🟡,🟡,🟡,🟢,🟡,🟡,🟡,0,3,0,1,0,0,1,4,0,0,0,0,0,0
388,2039500932748,MSH,Сережки «Кристен»,Серьги,—,Зол,Нет,184,MSHK-049,MSHK-049,209854799,4,12,3,19,6,9,11,3,4,4,9,13,15,3,3,67,15 829,6 258,22 087,1 759,1 564,1 699,400,146,3 600,585,0,3,0,0,0,0,0,0,0,0,32 834,3 496,2,"1,49","1,23","LST,⚡️FBO",🟢,⚪,🟢,🟡,🟡,🟢,🟡,🟢,🟡,🟡,6,2,0,4,0,0,0,1,2,0,0,0,0,0
229,2021512501005,DSS,Моносережка «Ласточка»,Серьги,—,Зол,Да,423,D158,D114DSMR032,65134002,0,6,0,6,4,6,9,0,2,4,4,8,13,3,2,125,16 324,4 356,20 680,2 721,2 178,2 585,535,104,3 210,208,12,12,0,0,0,0,15,0,0,0,57 134,8 883,2,"2,76","1,2","LST,⚡️FBO",🟢,⚪,🟢,🟢,🔴,🟡,🟡,🟡,🟡,🟡,1,1,1,1,2,0,0,0,0,0,0,0,0,0
321,2039500932724,MSH,Сережки «Джулианна»,Серьги,—,Зол,Нет,132,MSHK-047,MSHK-047,209854797,0,1,5,6,3,6,7,4,4,6,7,10,13,2,2,57,11 168,7 128,18 296,1 861,1 782,1 830,492,268,2 951,1 072,1,5,0,0,0,0,0,10,0,0,29 385,2 112,1,"1,61","1,28","LST,⚡️FBO",🟢,⚪,🟢,🟡,🟡,🟢,🟢,🟢,🟢,🔴,1,0,0,0,0,0,3,0,1,0,0,0,1,0
401,2043835932274,MSH,Сережки «Ласточкины сны»,Серьги,—,Сер,Нет,315,MSH-089,MSH-089,403343964,0,7,0,7,2,4,5,5,8,8,7,12,13,2,4,86,6 970,13 461,20 431,1 742,1 683,1 703,263,53,1 051,425,-1,1,0,315,0,0,0,10,1,0,29 622,5 355,1,"1,45","1,08","LST,⚡️FBO",⚪,🟢,🟢,🟡,🟡,🟢,🟢,🟢,🟡,🟡,1,1,5,0,0,0,0,0,0,0,0,0,0,0
516,2038819575738,MSH,Сережки «Солана»,Серьги,—,Зол,Нет,107,MSH-006,MSH-006,183317051,1,8,5,14,3,6,7,4,5,6,7,11,13,3,2,71,9 945,7 225,17 170,1 658,1 445,1 561,438,185,2 626,924,7,11,0,0,0,0,0,10,0,0,38 718,2 568,2,"2,25","1,26","LST,⚡️FBO",🟢,🟢,🟢,🟡,🟡,🟢,🟡,🟢,🟢,🟡,2,1,3,2,0,0,3,2,0,0,0,0,0,0
377,2031764978623,DSS,Сережки «Клевер»,Серьги,—,Роз,Нет,170,D176,D175DSR035,80362097,0,9,0,9,1,1,1,6,7,11,7,8,12,0,2,29,1 220,7 021,8 241,1 220,1 003,1 030,204,-20,204,-140,7,12,0,0,0,0,0,20,0,0,35 380,4 930,1,"4,29","1,01","LST,⚡️FBO",⚪,🟢,🟢,🔴,🟢,⚪,🟡,🟡,🟡,🟡,2,4,3,0,0,0,0,0,0,0,0,0,0,0
503,2039566343564,DSS,Сережки «Силуэты»,Серьги,—,Зол,Да,485,D475,DSR475,212774188,0,6,1,7,1,4,5,1,4,7,2,8,12,3,1,200,14 606,15 400,30 006,3 652,3 850,3 751,835,579,3 340,2 315,-1,-3,485,0,1 455,0,0,0,1,3,25 759,3 395,4,"0,86","1,23","LST,⚡️FBO",⚪,⚪,🔴,🟡,🟡,🟢,🟢,🟢,🟢,🟡,4,1,1,0,0,0,1,0,0,0,0,0,0,0
31,2038819637474,MSH,Колье «Солнце»,Колье,44-49,Зол,Нет,159,MSHK-032,MSHK-032,183318193,0,7,4,11,3,5,6,3,4,5,6,9,11,2,3,83,8 544,5 544,14 088,1 709,1 386,1 565,406,114,2 028,456,8,10,0,0,0,0,0,10,0,0,34 594,3 339,2,"2,46","1,21","LST,⚡️FBO",🟢,⚪,🟢,🟡,🟡,🟢,🟡,🟢,🟢,🟢,4,2,1,0,0,0,2,1,1,0,0,0,0,0
509,2038193968300,DSS,Сережки «Сияние колибри»,Серьги,—,Зол,Да,858,D363,D115DSR139,170044778,0,2,0,2,6,8,8,0,0,3,6,8,11,3,0,50,39 419,0,39 419,4 927,0,4 927,958,0,7 666,0,-7,-3,6 006,0,2 574,0,4,0,7,3,29 564,5 148,0,"0,75","1,24","LST,⚡️FBO",🟢,⚪,🟢,🟢,🔴,🟡,⚪,🟡,🔴,🔴,0,0,2,0,0,0,0,0,0,0,0,0,0,0
37,2037853259284,DSS,Колье «Триша»,Колье,45,Зол,Нет,175,D310,D184DKLE012,161486302,0,11,2,13,1,1,3,1,5,7,2,6,10,0,3,150,1 579,7 920,9 499,1 579,1 584,1 583,339,161,339,807,6,3,0,0,0,0,0,6,0,0,30 011,3 325,6,"3,16","1,14","LST,⚡️FBO",⚪,🔴,⚪,🔴,🟢,⚪,🟡,🟡,🟢,🟡,4,4,2,1,0,0,2,0,0,0,0,0,0,0
227,2037467763023,DSS,Моносережка «Коготь с жемчугом»,Серьги,—,Зол,Да,391,D120,D114DSR092,146453536,0,7,1,8,3,3,6,1,4,4,4,7,10,2,2,100,9 627,14 800,24 427,3 209,3 700,3 490,757,625,2 271,2 499,4,2,0,0,0,0,5,0,0,0,42 208,5 083,2,"1,73","1,24","LST,⚡️FBO",⚪,⚪,⚪,🟡,🟡,🟢,🟡,🟢,🟡,🟡,2,3,1,0,1,0,0,0,0,0,0,0,0,0
232,2038086907799,DSS,Моносережка «Месяц»,Серьги,—,Зол,Да,370,D327,D114DSR128,166687015,4,12,7,23,2,4,4,1,3,6,3,7,10,2,2,133,13 135,9 609,22 744,3 284,3 203,3 249,807,486,3 228,1 458,4,4,0,0,0,0,0,0,0,0,74 961,8 510,8,"3,3","1,26","LST,⚡️FBO",⚪,⚪,⚪,🟡,🟡,🟡,🟢,🟢,🟢,🟢,7,2,3,0,0,0,2,3,2,0,0,0,0,0
268,2039500932694,MSH,Сережки «Ариэлла»,Серьги,—,Зол,Нет,145,MSHK-040,MSHK-040,209854794,0,14,3,17,0,0,3,4,6,7,4,6,10,1,2,75,0,5 886,5 886,0,981,981,0,-2,0,-13,-1,2,0,145,0,0,0,5,1,0,5 698,3 190,4,"0,97",1,"LST,⚡️FBO",⚪,🟢,⚪,🔴,🟢,⚪,🟢,🟡,🟡,🟢,3,7,3,0,0,0,0,1,1,0,1,0,0,0
274,2038193948647,DSS,Сережки «Бабочки»,Серьги,—,Сер,Да,1453,D358,D115DSR134,170043577,1,1,1,3,0,2,5,4,5,5,4,7,10,2,3,125,9 180,28 875,38 055,4 590,5 775,5 436,232,229,464,1 144,-7,-4,10 171,0,5 812,0,0,0,7,4,14 955,4 359,1,"0,39","1,04","LST,🏠FBS",⚪,🟢,⚪,🔴,🟢,🟡,🟢,🟢,🔴,🔴,0,0,0,1,0,0,0,0,0,0,0,0,0,0
518,2031949420626,DSS,Сережки «Солнце»,Серьги,—,Сер,Нет,610,D178,DSR037,80993937,13,10,12,35,3,5,6,2,4,4,5,9,10,3,1,80,13 433,12 817,26 250,2 687,3 204,2 917,335,247,1 674,986,13,13,0,0,0,0,0,0,0,0,100 243,21 350,7,"3,82","1,11",⚡️FBO,🟢,⚪,🟢,🟡,🟡,🟢,🟢,🟢,🟢,🟢,6,3,1,0,0,0,3,3,1,0,0,4,0,0
400,2043835956508,MSH,Сережки «Ласточкины сны»,Серьги,—,Зол,Нет,315,MSH-090,MSH-090,403343965,0,4,9,13,4,4,4,1,4,5,5,8,9,1,2,60,6 794,7 260,14 054,1 698,1 815,1 757,246,96,982,382,-5,0,0,1 890,0,0,0,0,6,0,23 129,4 095,3,"1,65","1,11","LST,⚡️FBO",⚪,⚪,🟢,🟡,🟡,🟡,🟡,🟡,🟢,🟢,1,1,2,0,0,0,2,3,3,0,0,0,0,0
492,2039500932779,MSH,Сережки «Ромашки»,Серьги,—,Зол,Нет,220,MSHK-052,MSHK-052,209854802,0,9,7,16,1,3,3,1,3,6,2,6,9,2,1,150,5 830,8 250,14 080,1 943,2 750,2 347,436,491,1 307,1 472,10,10,0,0,0,0,0,10,0,0,56 173,5 720,8,"3,99","1,25","LST,⚡️FBO",⚪,⚪,⚪,🟡,🟡,🔴,🔴,🔴,🟢,🟢,4,3,1,0,0,0,1,1,2,0,0,0,0,0
145,2037260685959,DSS,Кольцо-печатка «Голубой глаз»,Кольца,17.5,Зол,Да,480,D260,D006DKLC001,21487575,1,4,0,5,1,1,1,3,5,7,4,6,8,0,3,75,2 552,10 956,13 508,2 552,2 191,2 251,12,-349,12,-1 743,-6,-5,2 880,0,2 400,0,0,0,6,5,12 760,2 400,1,"0,94","0,89","TSL,SZ,LST,🏠FBS",⚪,🟢,⚪,🔴,🟢,⚪,🟢,🟡,🟡,🔴,1,1,0,1,1,0,0,0,0,0,0,0,0,0
386,2036731082822,DSS,Сережки «Крабики»,Серьги,—,Зол,Да,470,D211,D202DSR059,94907081,0,5,1,6,0,1,3,1,3,5,1,4,8,0,2,200,2 822,8 466,11 288,2 822,2 822,2 822,527,264,527,792,-1,-2,470,0,940,0,0,0,1,2,16 932,2 820,6,"1,5","1,13","LST,⚡️FBO",⚪,⚪,⚪,⚪,⚪,⚪,🟢,🟢,🟡,🔴,4,0,0,0,1,0,0,0,0,0,0,0,0,0
409,2038819575912,MSH,Сережки «Летисия»,Серьги,—,Зол,Нет,185,MSH-024,MSH-024,183317066,0,8,9,17,1,3,5,0,2,3,1,5,8,2,0,200,4 865,3 168,8 033,1 622,1 584,1 607,346,151,1 037,303,0,0,0,0,0,0,0,0,0,0,27 229,3 145,17,"3,39","1,2","LST,⚡️FBO",⚪,⚪,⚪,🟡,🟡,🟢,🔴,🟡,🟢,🟢,4,2,2,0,0,0,3,3,1,0,0,0,1,0
438,2013733555004,DSS,Сережки «Монеты»,Серьги,—,Зол,Да,892,D118,D115YSR012,48447926,0,5,0,5,1,2,3,0,3,5,1,5,8,0,2,200,7 702,11 715,19 417,3 851,3 905,3 883,506,190,1 011,569,0,-3,4 460,0,7 136,0,0,0,5,8,19 255,4 460,5,"0,99","1,09","LST,⚡️FBO",⚪,⚪,⚪,🟡,🟡,🟡,🟢,🟢,🟡,🔴,3,0,1,0,0,0,0,0,0,0,0,0,0,0
471,2038819575820,MSH,Сережки «Перламутровые тюльпаны»,Серьги,—,Зол,Нет,365,MSH-015,MSH-015,183317056,0,3,2,5,3,3,4,3,4,4,6,7,8,0,0,0,5 159,7 544,12 703,1 720,1 886,1 815,204,68,611,274,-2,4,0,1 095,0,0,0,6,3,0,19 249,4 015,1,"1,52","1,07","LST,⚡️FBO",⚪,⚪,⚪,🟡,🟡,🟢,🟢,🟢,🟢,🔴,3,0,0,0,0,0,2,0,0,0,0,0,0,0
483,2042109116037,MSH,Сережки «Рената»,Серьги,—,Зол,Нет,412,MSH-069,MSH-069,295472766,0,2,0,2,1,3,3,0,3,5,1,6,8,1,0,100,4 392,4 707,9 099,1 464,1 569,1 516,57,-80,172,-241,0,-4,0,2 884,0,5 356,0,0,7,13,2 928,824,2,"0,32","0,99","LST,⚡️FBO",⚪,⚪,⚪,🟡,🟡,🟡,🟢,🟢,🟡,🔴,2,0,0,0,0,0,0,0,0,0,0,0,0,0
17,2038819637351,MSH,Колье «Алма»,Колье,42-47,Зол,Нет,483,MSHK-028,MSHK-028,183318189,0,0,7,7,3,6,6,0,1,1,3,7,7,3,0,100,18 360,2 620,20 980,3 060,2 620,2 997,607,186,3 642,186,4,4,0,0,0,0,0,10,0,0,48 940,8 211,2,"2,33","1,22","LST,⚡️FBO",🟢,⚪,⚪,🟢,🔴,🟡,⚪,🟡,🟡,🔴,0,0,0,0,0,0,4,1,0,0,0,0,0,0
280,2038819575875,MSH,Сережки «Беатрис»,Серьги,—,Зол,Нет,280,MSH-020,MSH-020,183317061,0,18,9,27,1,2,2,1,4,5,2,6,7,1,1,100,3 142,6 556,9 698,1 571,1 639,1 616,231,74,462,296,0,0,0,0,0,0,0,0,0,0,43 029,7 560,14,"4,44","1,08","LST,⚡️FBO",⚪,⚪,⚪,🟡,🟡,🟡,🟡,🟡,🟢,🟡,8,3,3,3,1,0,1,4,0,0,0,2,1,1
341,2013733507003,DSS,Сережки «Жуки»,Серьги,—,Зол,Да,726,D116,D115YSR010,48447924,0,3,5,8,3,5,5,0,2,2,3,7,7,2,1,100,21 312,6 732,28 044,4 262,3 366,4 006,832,182,4 158,365,-3,-2,2 178,0,1 452,0,0,0,3,2,29 617,5 808,3,"1,06","1,19","LST,⚡️FBO",🟢,⚪,⚪,🟢,🔴,🟢,🟡,🟢,🟢,🟡,2,1,0,0,0,0,1,0,1,0,0,0,0,0
380,2037360674280,DSS,Сережки «Кленовый лист»,Серьги,—,Зол,Да,664,D244,D202DSR079,142573882,9,3,4,16,3,4,4,1,3,3,4,7,7,1,1,50,11 228,9 801,21 029,2 807,3 267,3 004,328,213,1 311,638,6,8,0,0,0,0,0,0,0,0,46 752,10 624,4,"2,22","1,1","LST,🏠FBS",⚪,⚪,⚪,🟡,🟡,🟢,🟢,🟢,🟡,🟡,0,2,0,0,1,0,2,1,0,0,0,1,0,0
407,2038819575721,MSH,Сережки «Лесли»,Серьги,—,Зол,Нет,355,MSH-005,MSH-005,183317068,2,10,2,14,2,2,3,2,3,4,4,5,7,0,1,25,2 664,6 600,9 264,1 332,2 200,1 853,63,179,126,538,0,1,0,0,0,0,0,0,💤,💤,20 384,4 970,4,"2,2","1,08","LST,🏠FBS,SLEEP",⚪,⚪,⚪,🟡,🟡,🟡,🟢,🟢,🟡,🟡,2,4,3,1,0,0,0,1,0,0,0,0,0,0
443,2039566343540,DSS,Сережки «Морские коньки»,Серьги,—,Зол,Да,376,D473,DSR473,212774186,0,1,2,3,0,1,4,1,3,3,1,4,7,1,2,300,2 564,7 695,10 259,2 564,2 565,2 565,521,275,521,826,0,-1,0,0,376,0,0,0,0,1,7 694,1 128,3,"0,75","1,15","LST,🏠FBS",⚪,⚪,⚪,⚪,⚪,⚪,🟢,🟡,🟢,🔴,1,0,0,0,0,0,1,0,0,0,0,0,0,0
