ID,Штрихкод,Бренд,Название,Категория,Размер,Цвет,L1,💰 Стоимость,🔵 Артикул Ozon,🟣 Артикул WB,🟣 nm_id,🟡 Остаток сайт (109 / 240),🟣 Остаток WB (129 / 161 / 240),🔵 Остаток Ozon (98 / 143 / 240),📊 Общий остаток,🟣 Заказы WB 14д,🟣 Заказы WB 28д,🟣 Заказы WB 40д,🔵 Заказы Ozon 14д,🔵 Заказы Ozon 28д,🔵 Заказы Ozon 40д,📊 Всего заказов 14д,📊 Всего заказов 28д,📊 Всего заказов 40д,🟣 Выкупы WB 14д (T-21..-7),🔵 Выкупы Ozon 14д (T-21..-7),📊 % выкупа 14д,🟣 Выручка WB 28д,🔵 Выручка Ozon 28д,📊 Общая выручка 28д,🟣 Ср.выручка WB 28д,🔵 Ср.выручка Ozon 28д,📊 Ср.выручка общая 28д,🟣 Ср.доход WB / шт. 28д,🔵 Ср.доход Ozon / шт. 28д,🟣 Сумм.доход WB 28д,🔵 Сумм.доход Ozon 28д,📋 План закупок (14д на 30д),📋 План закупок (28д на 30д),💰 Стоимость закупки L1 (14д на 30д),💰 Стоимость закупки не L1 (14д на 30д),💰 Стоимость закупки L1 (28д на 30д),💰 Стоимость закупки не L1 (28д на 30д),📦 Приедут L1,📦 Приедут NoL,📊 Расчетный (14д на 30д),📊 Расчетный (28д на 30д),💰 Капитализация склада,💰 Себестоимость склада,📈 Индекс склада (14д),📈 Индекс капитализации,📈 Коэф.доходности,🏷️ Ярлыки,🟣 Динамика WB,🔵 Динамика Ozon,📊 Динамика общая,🟣 Доля WB 28д,🔵 Доля Ozon 28д,🟣 Выкупы WB,🔵 Выкупы Ozon,📊 Выкупы общие,🏢 Центральные склады,🏢 ТОП-3 склады,🟣📦 Остатки Центральный,🟣📦 Остатки Южный + Северо-Кавказский,🟣📦 Остатки Северо-Западный,🟣📦 Остатки Приволжский,🟣📦 Остатки Уральский,🟣📦 Остатки Дальневосточный + Сибирский,"🔵📦 Остатки Москва, МО и Дальние регионы",🔵📦 Остатки Санкт-Петербург и СЗО,🔵📦 Остатки Ростов,🔵📦 Остатки Казань,🔵📦 Остатки Новосибирск,🔵📦 Остатки Краснодар,🔵📦 Остатки Воронеж,🔵📦 Остатки Самара
44,2038819637283,MSH,Колье с двумя кулонами «Римские истории»,Колье,37-42,Зол,Нет,199,MSHK-027,MSHK-027,183318188,0,0,6,6,29,70,71,3,16,18,32,86,89,42,7,153,163 362,38 598,201 960,2 334,2 412,2 348,609,403,42 601,6 454,-74,-102,0,22 089,0,29 651,0,0,111,149,14 474,1 194,0,"0,07","1,32","TSL,LST,⚡️FBO",⚪,🔴,⚪,🟢,🔴,🟡,🟡,🟡,🟡,🟡,0,0,0,0,0,0,1,1,4,0,0,0,0,0
273,4603785765216,DSS,Сережки «Бабочки»,Серьги,—,Зол,Да,800,D139,D115DSR025,21329117,14,37,57,108,9,14,20,23,36,45,32,50,65,4,22,81,71 152,245 100,316 252,5 082,6 808,6 325,1 077,1 213,15 071,43 685,14,14,0,0,0,0,0,0,0,0,647 272,86 400,3,"2,05","1,23","TSL,⚡️FBO",🟢,🟢,🟢,🔴,🟢,🟡,🟡,🟡,🟢,🟢,24,7,4,1,1,0,19,9,3,2,3,5,2,2
48,2038336637179,DSS,Кольцо «Бабочка»,Кольца,16-19,Зол,Да,646,D344,D155DKLC130,172814280,0,14,0,14,8,11,16,14,22,33,22,33,49,2,16,82,44 874,101 640,146 514,4 079,4 620,4 440,840,665,9 245,14 630,-36,-22,23 256,0,14 212,0,5,0,36,22,77 510,12 274,1,"0,53","1,19","TSL,LST,⚡️FBO",🟢,🟢,🟢,🟡,🟡,🟢,🟢,🟢,🟡,🟡,2,8,1,2,1,0,0,0,0,0,0,0,0,0
296,2032002327623,DSS,Сережки «Вилланель»,Серьги,—,Зол,Нет,230,D185,DSR042,81314738,4,41,69,114,7,9,12,5,11,24,12,20,36,3,4,58,19 902,32 549,52 451,2 211,2 959,2 623,530,548,4 770,6 026,40,40,0,0,0,0,0,36,0,0,383 289,34 500,10,"7,31","1,26","TSL,⚡️FBO",🟢,⚪,🟢,🟡,🟡,🟡,🟢,🟢,🟢,🟢,20,7,7,7,0,0,14,8,4,3,3,7,3,4
297,2036729640249,DSS,Сережки «Вилланель»,Серьги,—,Сер,Нет,216,D205,D193DSR054,94817240,26,57,63,146,3,4,10,11,19,24,14,23,34,2,13,107,8 616,57 325,65 941,2 154,3 017,2 867,522,580,2 087,11 029,62,62,0,0,0,0,0,36,0,0,446 404,39 312,10,"6,77","1,25","TSL,⚡️FBO",⚪,🟢,🟢,🔴,🟢,🟡,🟢,🟢,🟢,🟢,26,6,10,15,0,0,13,10,5,2,2,7,1,2
520,2037712948304,DSS,Сережки «Стрекоза»,Серьги,—,Зол,Да,1258,D294,D202DSR114,156555364,0,7,4,11,4,8,11,8,15,22,12,23,33,2,8,83,43 318,82 154,125 472,5 415,5 477,5 455,748,328,5 982,4 921,-19,-18,23 902,0,22 644,0,0,0,19,18,59 811,13 838,1,"0,48","1,1","TSL,LST,⚡️FBO",🟢,🟢,🟢,🟡,🟡,🟢,🟡,🟡,🟢,🟡,1,1,4,1,0,0,1,0,0,1,1,0,0,0
494,2043834187149,DSS,Сережки «Рыбки-петушки»,Серьги,—,Сер,Нет,100,D517,D517,403160035,25,19,20,64,2,5,5,6,15,22,8,20,27,1,6,88,10 110,42 900,53 010,2 022,2 860,2 650,586,646,2 932,9 691,25,25,0,0,0,0,0,0,0,0,146 168,6 400,8,"2,76","1,31","TSL,⚡️FBO",⚪,⚪,⚪,🔴,🟢,🟢,🟢,🟢,🟢,🟢,8,5,4,0,1,0,8,5,4,0,0,1,0,0
538,2038819575684,MSH,Сережки «Цветочные истории»,Серьги,—,Сер,Нет,412,MSH-001,MSH-001,183317044,10,14,13,37,8,10,15,1,3,12,9,13,27,2,2,44,21 468,8 250,29 718,2 147,2 750,2 286,323,299,3 229,896,4,10,0,0,0,0,0,0,0,0,87 273,15 244,4,"2,94","1,16","TSL,⚡️FBO",🟢,⚪,🟢,🟢,🔴,🟡,🟢,🟡,🟢,🟢,5,4,4,0,1,0,4,4,3,1,0,0,0,0
398,2038819575844,MSH,Сережки «Ласточки»,Серьги,—,Зол,Нет,355,MSH-017,MSH-017,183317053,0,21,21,42,2,2,4,5,9,20,7,11,24,0,5,71,5 385,24 750,30 135,2 692,2 750,2 740,592,356,1 184,3 202,0,0,0,0,0,0,0,0,0,0,114 292,14 910,6,"3,79","1,17","TSL,⚡️FBO",⚪,🟢,🟢,🔴,🟢,⚪,🟢,🟢,🟢,🟢,7,6,7,1,0,0,8,6,3,0,0,1,0,0
468,2037549815565,DSS,Сережки «Перламутровое сердце»,Серьги,—,Зол,Нет,350,D238,D275DSR107,149612893,0,1,4,5,5,6,10,1,9,12,6,15,22,1,7,133,9 434,14 256,23 690,1 572,1 584,1 579,161,-14,969,-122,-8,-11,0,4 200,0,5 250,0,3,12,15,12 625,2 800,1,"0,53","1,04","TSL,LST,⚡️FBO",🟢,🔴,⚪,🟡,🟡,🟡,🟢,🟢,🔴,🟡,0,1,0,0,0,0,0,0,3,0,0,1,0,0
222,4603785765247,DSS,Моносережка «Бабочка»,Серьги,—,Зол,Да,"463,25",D142,D114DSMR028,21477173,-1,22,14,35,6,13,16,2,4,5,8,17,21,8,2,125,45 552,19 160,64 712,3 504,4 790,3 807,799,902,10 393,3 609,7,7,0,0,0,0,8,0,0,0,168 676,19 920,4,"2,61","1,28","TSL,⚡️FBO",⚪,⚪,⚪,🟢,🔴,🟢,🔴,🟢,🟢,🟢,10,4,3,3,1,0,3,2,4,0,0,0,0,0
